density,number_hardeners,surface_density,alfa
1917.784,91.660,422.070,32.576
1956.587,84.289,672.365,42.861
1993.624,115.482,168.599,22.021
2014.623,104.098,654.549,29.092
1868.349,87.387,338.937,40.192
1843.183,106.824,75.240,47.424
2042.280,88.413,324.279,31.131
2009.399,148.316,398.920,19.326
2008.311,111.259,887.094,39.118
1929.678,161.558,894.355,25.681
2068.267,117.857,404.646,45.030
1985.376,122.028,202.395,26.322
2053.928,134.958,361.106,38.894
1969.624,92.419,565.340,39.853
1952.018,104.487,808.806,18.468
1949.455,114.528,293.444,30.343
1929.520,147.304,207.521,27.064
1990.625,107.582,451.864,27.959
1835.946,115.495,416.247,37.847
1878.494,142.131,489.988,28.144
2014.755,99.758,574.786,41.504
2019.601,96.045,1021.610,20.572
2017.204,99.675,300.260,34.511
1948.395,126.028,221.234,35.139
2021.856,132.654,194.050,44.479
2075.221,140.939,1013.030,27.520
1873.630,102.429,876.828,25.181
1924.865,116.754,679.950,31.832
1967.038,131.215,812.629,33.863
1986.552,102.615,414.213,33.479
1876.168,63.512,237.688,28.203
1921.918,126.919,49.976,43.547
2009.034,79.347,550.102,27.137
2009.797,71.421,463.412,44.114
1978.553,144.160,355.291,47.119
1988.302,52.074,793.834,31.575
1881.616,123.506,363.128,32.357
1825.952,112.556,495.483,33.204
2018.959,59.175,108.448,34.193
1996.672,100.701,358.351,35.030
1961.396,112.326,695.846,33.291
1932.755,108.045,82.217,42.323
2008.269,119.510,361.264,36.576
1986.340,93.749,76.683,34.208
1868.413,149.275,89.074,34.289
1910.931,136.629,339.273,34.195
1879.001,157.076,1227.243,21.062
2080.436,147.909,764.949,31.663
2125.206,120.193,270.458,42.371
2007.869,120.681,298.924,30.591
1899.029,79.833,34.548,26.767
1959.597,118.185,987.202,29.869
2076.523,76.947,712.637,28.585
2021.811,95.642,131.982,34.002
2061.014,121.066,197.639,32.455
2012.550,97.740,237.361,29.309
2135.799,122.466,949.474,27.424
2045.558,121.755,877.923,29.042
1963.866,138.874,56.140,38.652
1885.724,106.705,182.226,30.674
1925.464,132.388,601.842,27.741
1986.131,103.176,852.600,38.653
1987.188,123.349,563.975,34.226
2056.299,45.122,558.300,37.305
2060.756,45.863,370.045,31.945
1938.963,173.254,254.109,24.945
1884.474,106.075,730.290,26.950
1941.756,97.068,379.680,34.160
2145.260,125.160,548.839,29.452
2000.021,128.413,252.552,30.175
1910.853,122.112,430.682,31.222
1974.918,80.793,352.821,25.990
1939.307,100.211,360.511,27.763
1949.423,71.169,793.019,29.668
1954.982,89.692,759.418,34.430
2109.442,116.607,372.705,28.699
2006.431,76.139,873.238,32.328
2014.304,58.055,581.856,34.818
1997.213,107.549,165.345,29.473
2053.985,126.726,767.382,25.195
2028.596,115.035,245.591,18.517
2062.014,122.282,1019.442,23.617
1944.097,124.874,873.531,23.581
1832.561,137.516,598.134,37.959
2114.435,81.636,553.811,33.264
2021.528,107.030,318.878,34.603
2005.152,81.793,219.876,27.409
1965.867,128.402,1013.405,25.292
1868.701,141.175,1169.881,31.537
1930.957,97.976,750.424,33.437
1914.079,122.105,541.109,32.953
2033.820,103.988,240.801,30.957
1923.812,126.758,657.026,36.744
1968.953,115.237,416.220,39.351
2012.150,88.336,71.282,40.343
2037.624,133.500,560.433,33.639
1999.852,136.710,951.144,33.572
1982.601,73.403,347.839,38.609
1899.869,100.338,394.166,37.664
2107.861,74.387,105.478,37.391
1934.309,97.491,74.538,37.133
1936.439,122.599,588.602,24.716
1945.324,127.661,646.632,37.502
1947.952,110.615,309.839,23.300
2016.645,121.201,352.106,35.709
1905.643,105.918,495.675,24.417
1816.108,143.188,375.591,40.480
2015.267,79.995,458.556,33.038
2050.583,136.188,1040.467,35.510
1987.595,85.768,697.774,25.473
1947.072,100.047,698.789,38.279
2019.419,124.302,463.601,41.722
1884.372,167.447,420.236,31.104
1866.531,95.846,411.957,37.922
1984.144,107.938,533.792,32.311
2013.245,134.860,342.661,28.986
1968.861,118.502,281.348,31.777
1902.153,109.838,344.606,38.061
1967.019,119.768,62.345,38.791
1981.010,43.133,466.676,40.203
2040.894,94.770,866.198,40.311
2078.510,121.382,309.790,35.291
1927.768,91.431,225.524,47.582
1810.471,148.850,721.960,38.262
1984.505,125.968,305.235,27.938
1786.036,103.352,111.649,39.361
1913.273,104.017,288.020,31.575
2112.330,119.336,644.567,20.417
1889.335,104.426,192.686,35.831
1953.103,135.607,619.912,42.424
1990.095,110.226,410.551,34.051
1920.695,146.451,623.508,32.766
1899.218,125.985,160.421,35.476
1967.176,80.370,82.184,28.887
1995.685,103.296,500.314,30.172
1912.215,87.199,781.355,28.358
1926.597,86.778,267.141,38.516
2059.843,137.119,1004.066,38.836
1963.786,103.210,525.296,43.224
2142.066,94.895,865.085,37.932
1912.794,96.372,507.940,32.848
1937.658,89.316,128.696,37.791
2006.130,154.669,710.118,19.327
2045.564,86.483,278.421,36.823
2071.260,100.334,691.281,35.245
2044.375,158.562,641.592,29.823
2060.640,131.401,929.019,27.902
2056.616,126.110,633.391,39.404
1976.344,79.245,775.306,29.619
1854.266,98.703,449.013,39.589
2124.342,112.123,884.275,28.164
2045.625,99.188,238.902,30.772
1950.144,81.867,762.677,33.139
1890.480,120.884,543.907,30.500
1858.283,146.526,193.219,32.670
1951.457,59.875,373.007,38.616
1975.493,144.364,928.454,35.787
1969.824,112.218,633.756,33.735
1976.800,130.478,582.954,26.602
1996.346,123.962,268.884,34.997
1966.429,108.354,460.772,31.887
2100.087,141.603,818.275,31.032
1987.385,104.937,453.919,27.099
1968.722,143.458,564.054,41.957
1833.199,144.739,43.705,38.368
1977.688,95.931,188.700,33.101
1968.192,119.231,639.550,38.634
2021.893,115.274,742.738,43.246
1967.018,121.412,118.305,30.619
2042.568,76.343,737.653,23.884
1959.011,93.993,508.912,42.612
2122.541,126.563,520.045,18.273
1886.313,82.299,330.388,37.349
2096.713,88.118,138.866,29.567
1982.011,91.494,805.136,29.916
1980.267,129.261,165.777,39.421
1972.176,90.597,523.269,37.682
2012.652,57.950,696.921,39.583
1926.531,98.407,87.685,24.105
1966.734,146.832,218.383,32.504
1935.162,95.569,337.501,30.352
1972.054,95.764,112.460,29.130
1883.369,151.023,757.361,29.954
1981.385,101.389,798.629,28.439
2018.902,78.600,821.833,35.643
1916.228,132.157,266.492,28.642
1977.908,64.019,314.038,48.055
1854.895,100.472,219.574,39.461
1999.045,119.121,583.860,30.226
2061.919,81.071,934.780,39.297
2005.413,131.173,485.516,35.048
2030.610,134.871,811.258,37.697
1949.480,99.791,696.887,41.531
1977.303,133.222,239.456,42.798
1964.924,138.699,176.460,22.026
1993.895,85.210,856.912,41.723
1953.009,63.548,633.152,31.606
1905.904,77.060,500.768,30.337
1825.270,134.328,325.481,19.988
2035.719,109.903,730.916,31.627
1980.606,122.860,402.447,39.428
1840.636,138.654,951.623,31.226
1958.082,79.953,673.155,34.935
1926.383,114.452,322.060,28.848
2005.392,128.092,139.831,37.494
1911.932,77.952,330.922,23.495
2013.101,114.294,252.958,39.471
2129.060,70.761,676.051,33.083
1995.465,118.769,168.177,31.932
1958.899,109.272,503.090,23.022
2037.972,135.866,734.735,38.640
1991.092,130.854,353.471,37.445
1899.214,94.657,303.472,31.919
1943.345,88.730,388.991,39.993
2048.120,110.262,330.953,38.282
2077.824,114.100,1086.560,34.407
2062.165,96.137,533.727,26.854
1975.421,98.215,518.123,26.809
1945.845,84.667,265.345,32.756
1982.378,102.653,814.741,34.954
1895.084,151.844,760.993,39.932
1960.113,80.523,100.178,29.965
1989.461,98.431,444.499,27.029
1885.577,104.334,799.130,37.759
2031.436,72.982,44.380,36.183
1992.345,129.947,914.471,35.619
2021.454,70.507,616.530,29.722
2020.310,129.579,777.963,30.928
1931.882,62.621,362.407,36.439
2025.825,121.922,682.209,26.630
1905.172,67.342,269.230,38.441
2122.848,127.542,823.371,30.164
1929.585,123.687,469.437,26.842
2104.055,92.618,1067.898,40.707
1784.482,81.442,245.606,45.809
1975.618,123.900,831.256,32.743
2051.446,51.821,718.327,29.440
2145.150,104.655,126.865,35.162
1924.205,96.563,677.951,31.013
2021.636,143.278,752.252,35.319
1831.560,130.895,1151.117,43.569
1983.146,61.074,955.745,40.884
1977.213,84.946,510.817,45.039
2023.786,136.901,726.628,31.792
2049.934,109.439,215.473,30.027
2010.427,93.032,274.459,33.832
1980.302,130.165,212.518,31.677
1807.596,176.919,122.479,36.871
1984.396,132.986,318.166,22.715
1951.133,91.573,726.315,35.422
1984.315,56.637,312.585,29.596
2002.151,113.386,578.486,37.164
2074.527,110.420,699.725,42.985
1965.696,99.187,976.489,27.267
1970.726,167.745,351.030,36.581
1905.942,117.730,377.546,40.428
1984.839,117.290,1120.685,33.160
1951.479,107.490,147.418,35.299
1992.626,115.168,76.740,35.991
2055.243,48.911,556.456,32.959
1970.831,150.573,498.079,35.845
1888.349,135.138,461.151,33.834
1894.104,84.498,515.700,33.603
2150.793,89.431,605.800,38.812
1948.879,97.875,976.778,31.288
2011.506,101.011,262.313,24.765
2021.755,109.247,534.460,23.427
2013.209,62.743,322.221,30.206
2062.918,119.924,223.049,30.115
2015.705,122.273,904.623,35.531
1906.384,123.701,39.819,28.263
2048.586,122.711,681.714,38.200
1918.698,130.594,161.962,38.492
2035.604,103.807,663.813,37.264
2092.179,48.087,379.573,37.424
1937.582,111.068,974.645,31.386
1931.764,103.133,810.698,28.011
1948.418,91.219,115.760,45.645
2015.679,124.555,330.399,30.984
1949.063,138.337,160.513,44.212
2033.502,91.071,395.171,32.359
1910.632,152.821,143.031,35.375
2017.040,114.644,701.843,27.126
1982.384,117.014,808.690,22.070
1925.611,88.383,951.223,36.498
1844.281,67.168,385.443,27.518
2008.300,82.559,342.540,30.790
2010.795,130.532,347.433,39.554
2034.313,102.180,785.987,27.854
1963.169,135.145,376.967,25.687
1900.222,120.934,28.221,37.653
2028.453,120.818,730.655,22.737
2075.899,134.850,271.670,41.355
2019.574,108.053,443.686,41.453
1949.509,113.553,926.916,26.126
2040.591,126.291,57.256,29.292
1964.288,107.288,62.735,30.969
1872.816,90.672,27.537,19.794
1944.606,113.008,589.883,33.766
2057.950,91.281,271.233,44.676
2032.742,124.594,310.655,41.401
2036.670,93.293,530.890,35.555
1839.671,155.778,132.448,34.196
2095.717,105.779,859.432,39.275
1957.161,97.574,184.477,39.842
1938.288,100.610,857.492,25.069
1934.556,119.503,396.848,36.424
2012.879,90.226,589.665,40.896
1861.494,134.856,153.854,38.655
1910.839,117.593,937.494,35.296
1964.781,84.338,334.701,27.854
1980.956,112.822,580.078,34.471
1954.634,156.877,738.117,30.596
1964.197,111.675,879.802,25.763
1986.945,113.275,396.741,34.110
1915.643,93.291,335.450,34.501
1920.338,78.204,599.497,46.184
1928.471,82.892,200.985,27.066
2076.602,109.208,106.768,40.505
2020.828,88.688,636.837,25.895
2003.317,154.966,573.015,35.735
1855.990,139.771,549.105,28.409
1951.742,108.572,506.040,35.793
2056.809,106.781,430.899,27.110
2011.658,88.974,263.845,24.399
1913.535,113.982,673.034,33.875
1937.100,113.364,856.001,38.124
1985.103,115.222,491.457,43.565
2002.022,124.164,94.614,29.740
2033.664,81.017,960.917,24.957
2000.193,131.529,73.431,35.032
1866.653,153.428,279.017,43.168
1990.228,139.742,237.977,29.061
2025.551,91.512,184.287,25.743
2079.216,77.330,402.944,23.091
1917.386,111.596,130.612,28.063
1934.264,82.703,541.151,38.257
2038.056,126.272,394.643,24.795
2005.525,138.137,618.410,24.108
2002.618,109.908,298.268,34.376
2026.110,133.388,795.669,33.758
2011.351,118.954,324.059,35.805
2069.446,149.517,126.592,29.335
2045.799,131.321,493.562,28.389
1928.293,97.583,71.020,35.670
1948.410,41.886,399.818,36.035
1909.170,136.953,419.948,35.425
1980.824,81.163,233.899,30.074
2011.585,148.576,428.055,27.563
2037.052,109.701,828.061,33.662
1893.099,103.703,1053.248,40.731
1861.332,120.304,445.035,44.356
2049.203,113.839,791.400,32.428
1994.961,76.539,559.071,29.208
2098.475,76.239,548.215,32.783
1893.737,71.617,428.217,34.032
1832.488,128.294,680.483,35.993
1870.918,49.542,406.764,35.799
1990.496,80.475,402.772,36.409
2000.283,80.143,188.345,43.002
2040.230,168.537,1288.692,26.401
2018.730,95.432,1013.463,32.012
2055.004,99.557,493.405,45.991
1918.505,102.857,99.373,36.804
1926.564,53.753,263.449,25.414
1960.650,125.234,881.629,33.668
1983.423,96.886,769.384,34.745
1990.291,127.256,577.409,43.735
2002.624,86.271,906.818,41.222
1923.649,109.220,452.025,35.953
1973.867,123.309,655.776,30.571
1923.566,80.436,334.490,28.698
2007.428,110.099,46.652,38.513
1981.661,146.972,1063.836,40.450
1918.534,111.201,23.504,36.039
2015.680,95.113,223.251,25.071
2125.686,167.468,366.983,25.977
1983.452,103.223,733.269,46.337
2097.111,103.419,711.229,37.150
1883.306,97.576,315.668,34.451
2026.604,129.220,452.930,26.516
2094.828,104.186,588.052,36.709
1907.929,99.062,317.094,28.789
1884.079,70.787,1101.433,28.857
2037.899,87.068,372.217,30.985
2087.647,76.784,68.508,33.427
1940.087,102.062,504.032,29.335
2047.141,144.192,128.266,45.647
1832.020,89.995,466.376,32.367
2094.195,61.441,371.518,38.622
1868.222,131.671,372.306,32.327
2014.798,87.842,554.583,29.699
1994.132,53.267,285.543,32.896
1849.281,93.620,493.625,32.647
2079.295,105.589,292.979,33.435
1945.263,128.163,236.286,38.347
1939.888,136.164,443.959,29.214
2097.724,97.954,348.452,32.452
2048.401,158.535,449.090,25.564
1898.263,78.736,218.819,26.826
2010.572,111.528,412.319,37.356
1890.091,139.652,989.033,42.149
2127.026,102.789,357.340,26.778
2011.438,93.004,227.638,34.940
1856.907,101.206,601.823,43.578
1984.979,119.143,490.219,33.309
1928.771,92.468,911.205,32.919
2008.456,79.635,41.319,35.857
1805.736,166.610,746.936,47.111
2020.947,106.797,201.812,35.710
1863.398,105.714,373.717,34.583
1978.198,164.568,790.488,40.929
2039.344,116.366,697.412,36.923
1998.414,147.122,430.808,21.293
1931.338,138.955,354.396,30.577
2036.979,165.686,127.348,33.744
1962.765,73.781,412.504,33.326
2025.522,75.434,343.627,35.930
1838.749,57.885,243.441,40.881
1972.320,133.821,246.996,24.060
1995.531,108.479,696.581,34.192
1907.953,71.664,204.666,28.233
1985.690,76.257,197.238,27.897
1849.219,48.202,25.635,47.291
1914.952,166.952,411.821,31.335
2132.378,90.577,297.672,47.984
2003.766,91.685,915.161,41.542
1992.347,165.678,401.697,34.151
2038.898,105.129,354.986,31.954
1955.867,120.293,1181.341,30.112
2007.324,87.715,377.308,26.302
1900.448,43.455,409.638,23.435
2008.104,111.158,613.858,34.948
2039.885,125.229,866.023,29.710
1904.961,116.172,1165.544,35.216
1846.763,143.535,149.888,33.426
1936.109,122.749,930.695,30.023
1863.595,119.523,748.841,37.123
2043.226,107.173,665.278,30.805
2055.143,75.537,554.229,39.209
2004.332,78.294,731.405,35.686
2026.960,72.252,640.307,37.968
1968.419,158.205,539.224,39.867
1985.426,147.191,450.399,36.444
1855.696,134.243,144.313,36.367
2001.577,112.327,338.265,26.403
1801.941,133.638,984.117,32.833
2136.038,102.259,682.060,38.620
1944.167,75.670,321.828,34.426
1833.459,94.054,250.773,39.994
1989.373,120.442,546.081,32.739
1902.324,138.491,79.880,40.330
1879.529,122.049,493.209,39.149
1968.258,140.515,980.921,36.024
2012.822,108.924,1003.555,26.026
1901.357,151.260,519.669,29.472
1959.651,108.527,594.851,30.237
1928.278,130.451,927.767,21.445
1935.833,104.531,640.730,29.289
2015.074,113.481,154.822,42.085
1978.409,160.178,407.547,36.163
1970.689,141.247,488.015,43.151
1958.918,125.074,225.408,27.385
2051.030,57.106,1238.476,29.590
2069.673,57.285,91.390,22.303
2025.832,73.627,835.010,43.272
1943.582,135.136,588.809,35.289
1998.218,98.333,709.435,23.083
2024.927,141.799,618.007,26.283
1891.620,103.997,299.873,26.608
1955.907,104.910,372.316,32.698
2019.044,88.459,593.135,28.355
1887.968,99.956,749.902,36.214
1913.022,129.246,493.708,26.175
1995.549,110.738,772.566,18.229
1993.219,129.442,399.816,34.634
2067.228,131.511,488.717,35.569
2116.648,102.945,38.610,50.313
2023.287,106.902,237.954,24.413
2037.691,139.275,46.527,35.114
2010.975,79.480,432.311,40.356
2012.771,100.852,1142.303,28.121
1979.232,69.821,77.462,31.295
2066.355,170.333,839.781,24.545
2110.837,51.225,501.389,18.532
2135.885,67.876,528.171,44.702
2025.872,148.761,454.856,27.272
2102.673,93.909,434.040,32.836
1973.753,145.867,464.720,34.511
1899.053,136.683,264.539,38.832
1862.680,75.069,403.768,19.164
1987.787,76.427,641.922,41.218
1985.897,143.640,522.058,32.427
2062.144,104.992,431.498,36.253
2050.007,136.038,1230.465,33.751
1965.443,99.880,351.106,27.084
2076.666,57.006,198.270,37.953
2110.986,101.936,688.874,41.347
1923.763,130.656,611.327,44.725
1959.121,99.282,459.957,42.692
1959.305,72.349,619.211,30.873
2050.300,98.156,134.095,27.598
1933.193,97.204,606.101,32.729
2144.524,107.693,540.078,24.639
1911.245,78.848,113.590,37.610
1980.855,112.170,1133.448,38.804
2076.982,83.235,208.615,36.969
2000.361,125.469,662.170,30.326
1869.808,75.449,584.747,35.711
1819.454,181.033,297.241,32.070
1960.575,93.868,692.271,25.100
2072.960,86.803,26.545,42.629
1986.526,109.180,367.982,32.819
2025.608,170.892,638.026,27.870
1997.805,111.728,567.407,32.584
2005.351,147.195,98.620,41.005
2021.394,107.335,293.848,21.401
1961.550,122.234,534.070,36.573
1920.565,103.510,37.629,24.892
2016.367,125.624,748.944,34.716
1873.099,114.275,1177.613,25.050
1917.771,136.496,569.585,22.632
1873.797,79.474,197.252,32.433
1936.877,115.391,341.071,36.713
1966.472,117.786,1072.490,36.435
1998.709,125.496,378.021,44.159
1887.288,122.378,668.451,20.470
1840.441,149.762,1166.629,32.460
2014.900,105.002,237.229,30.300
1844.134,80.433,380.095,22.608
1920.882,130.164,239.535,36.878
1923.507,96.766,690.361,40.458
1874.006,142.316,707.036,35.543
1880.682,72.182,120.319,37.612
2021.200,90.410,544.203,36.788
2013.656,142.654,482.464,42.715
1985.036,151.217,201.131,33.842
1939.027,130.982,74.894,45.130
1945.935,63.527,807.274,39.158
2095.123,126.311,508.512,27.254
1949.470,100.354,775.698,30.035
1871.692,107.004,459.732,33.153
1912.908,94.028,686.615,24.057
1999.220,142.951,380.298,30.247
2002.149,134.660,720.227,29.399
1993.796,139.263,583.324,39.122
1981.224,101.566,900.558,27.256
1918.228,155.542,516.100,30.385
1960.403,108.847,497.003,36.372
2112.063,150.962,621.520,42.648
2071.906,107.821,602.270,37.648
1910.205,96.355,444.343,29.368
1912.688,135.579,311.399,34.759
1810.358,82.914,706.957,27.033
2160.751,129.735,464.162,33.753
2090.152,136.056,347.272,22.571
1917.700,93.347,325.200,34.219
2053.293,59.207,432.573,27.493
1850.818,108.438,482.462,34.192
1982.696,94.995,301.836,28.530
2021.014,151.884,791.442,21.123
2073.584,70.720,772.393,37.819
1967.933,160.440,354.665,32.259
1979.269,152.062,465.201,40.889
2150.338,154.920,401.759,30.981
1983.725,113.881,422.628,22.995
1845.739,95.375,628.369,43.215
1935.851,125.844,505.856,42.287
1849.078,90.569,238.498,31.550
1948.516,116.396,249.984,28.625
1820.140,109.704,488.873,32.368
2023.659,115.174,75.567,29.531
1866.606,153.507,426.504,35.109
1977.113,118.701,521.683,26.098
2025.648,137.984,220.866,28.802
1915.616,78.362,218.949,39.392
1911.820,122.896,284.905,28.195
1986.156,86.965,315.235,22.259
1985.996,55.358,1291.340,37.214
1988.099,86.511,274.154,31.664
1965.752,131.040,354.133,33.349
2009.096,106.989,248.251,26.826
2089.505,104.686,268.218,26.378
1997.134,44.302,904.239,39.377
1895.528,88.016,489.840,37.713
1864.344,78.943,219.543,36.910
1895.641,124.176,379.356,35.968
2039.532,117.906,520.031,37.844
1970.499,144.625,694.590,30.956
2135.602,89.015,229.892,44.081
1937.865,125.982,569.168,34.697
1966.067,131.840,359.127,25.167
1898.040,125.079,930.619,31.126
2015.179,122.395,204.010,38.460
2028.898,81.423,172.548,39.892
1856.029,120.829,93.444,40.330
1982.296,130.846,532.348,37.236
1835.879,138.111,46.140,36.730
2057.632,93.800,23.171,31.665
2065.034,112.109,1021.437,37.487
2010.938,110.451,585.311,36.553
1856.197,119.595,141.948,30.417
2030.389,82.327,253.915,35.105
1943.556,80.462,649.453,49.406
1884.654,121.669,207.349,38.971
1828.412,86.849,444.038,29.682
2025.275,114.708,432.659,31.966
2051.743,110.311,416.328,33.949
2010.212,90.579,1009.026,28.443
1898.891,103.013,535.406,33.465
1915.202,108.138,494.872,36.578
1969.874,75.811,704.339,35.356
2031.800,105.107,590.761,30.650
1854.074,141.464,564.801,30.671
2005.502,88.536,264.282,29.794
1823.414,66.852,776.758,42.987
2004.102,57.816,732.452,26.635
1900.642,143.623,379.621,35.559
1974.695,90.502,1061.689,33.405
2043.740,146.689,465.790,38.554
1886.694,120.822,700.358,39.370
1943.634,101.372,560.595,28.143
1991.951,136.920,553.978,34.662
2076.848,86.742,287.581,31.400
1950.359,115.750,177.271,30.136
1987.700,139.342,829.255,35.909
1911.260,118.977,609.039,29.334
1909.805,64.825,604.856,46.934
1968.409,104.943,339.141,35.388
2006.339,85.631,1010.766,46.068
1922.807,129.483,1081.759,35.211
2072.180,117.802,714.505,32.802
2104.467,102.128,478.335,29.251
1858.863,84.542,415.463,33.200
1976.866,96.105,219.180,36.014
1930.390,91.996,855.002,25.802
2103.615,156.953,110.099,25.769
2070.531,76.858,716.274,28.986
1920.086,126.054,335.940,30.638
2063.129,89.076,779.849,28.795
2081.800,106.696,358.175,25.969
1875.206,94.149,822.689,31.606
1984.421,105.275,105.769,30.023
1925.620,93.229,387.858,22.715
1969.045,109.117,843.154,38.723
1976.868,136.600,590.866,41.241
1883.805,111.486,849.300,39.459
1897.393,179.646,336.889,30.972
1916.868,50.208,233.717,39.510
2053.170,137.037,510.899,32.568
2065.780,131.521,907.567,24.016
2009.715,162.209,201.476,26.938
1870.970,133.703,675.284,41.552
1967.301,59.249,507.068,29.008
1952.859,145.081,59.768,41.168
2117.182,138.076,282.576,40.261
2014.646,104.043,667.781,30.970
2019.888,113.259,792.582,27.591
2071.785,155.909,433.467,35.616
1837.252,156.056,734.145,33.241
1915.062,82.178,86.646,32.117
1886.864,113.337,109.293,35.336
1931.740,121.151,609.004,32.689
1961.002,96.489,705.790,31.850
1997.295,92.402,105.652,28.367
1903.103,106.714,260.012,30.698
1922.309,128.035,290.946,27.631
1906.590,96.796,825.382,34.251
1973.600,111.771,318.841,36.480
1924.198,97.126,632.403,41.001
1938.187,73.516,673.996,47.317
1894.121,93.095,562.086,34.415
1958.696,109.641,743.680,46.009
1927.759,150.359,354.682,34.886
1958.394,112.912,776.788,36.166
1954.917,125.800,538.997,27.257
2035.851,60.496,326.662,34.968
2001.349,122.411,938.536,28.209
1940.876,108.267,799.826,37.429
1986.168,89.445,531.151,32.100
1977.622,135.714,171.678,30.435
2052.029,110.690,1012.293,47.594
1966.465,121.608,585.436,46.661
2037.186,71.667,571.377,45.279
1993.377,98.321,822.989,34.309
1978.115,106.599,594.553,32.974
1964.749,146.098,735.087,35.307
1946.741,76.370,223.979,34.323
1976.146,157.541,432.252,36.347
1875.543,88.296,314.314,34.961
1908.394,152.503,508.461,27.008
1867.090,76.955,653.205,27.985
1999.651,110.458,660.481,44.665
1950.305,129.407,281.484,26.154
1930.389,64.813,589.345,26.107
2052.921,92.922,661.410,27.859
2055.121,135.284,854.601,28.884
1977.127,118.754,558.712,33.736
1973.190,131.392,830.097,31.026
1931.378,159.629,425.716,44.351
2084.923,130.266,308.757,28.009
2044.102,131.673,1116.676,23.001
1912.846,146.339,895.760,33.332
1875.188,133.989,316.667,37.236
2008.673,133.260,336.056,38.333
1921.988,116.386,682.406,31.455
2000.596,121.978,339.352,31.543
1961.476,92.484,431.174,35.642
1964.722,157.121,826.279,38.323
1984.954,130.913,276.827,29.408
1930.570,108.693,403.727,36.546
1998.058,137.936,341.576,38.431
2018.231,101.904,700.660,35.997
1990.008,80.922,440.007,25.980
2020.429,181.828,223.650,40.312
1910.431,122.235,484.397,27.364
1959.085,151.474,33.684,32.510
1984.992,119.710,850.294,27.266
1940.421,91.669,414.952,31.552
2158.795,155.224,315.196,40.522
1978.941,116.797,350.439,33.995
1966.142,63.652,824.489,30.292
1926.736,123.160,826.664,35.494
1906.250,111.166,83.301,43.578
2143.730,91.169,345.401,37.906
1981.460,147.555,160.972,41.664
2020.108,150.710,105.673,26.072
2047.614,148.422,218.644,32.767
1877.887,129.822,191.970,31.569
2093.942,112.456,322.790,37.238
1958.654,138.764,613.532,21.485
2045.100,122.611,372.353,31.401
1987.311,70.683,399.314,29.153
1994.089,106.703,390.592,30.641
1852.622,119.344,1182.326,34.167
2021.355,79.199,418.846,38.740
1894.961,85.026,322.526,39.615
1894.974,92.229,753.144,29.134
1850.474,82.865,611.405,30.372
2019.706,167.194,143.237,29.357
2038.194,105.304,451.310,24.022
1967.481,107.207,267.148,38.013
1907.273,118.913,494.400,46.444
2054.570,110.614,443.401,34.341
1843.968,90.827,209.365,36.283
2123.461,72.660,277.093,31.499
1942.128,61.106,98.935,28.432
1926.497,121.663,664.307,44.814
1942.950,118.051,288.130,32.041
2041.275,114.730,870.242,32.607
2066.208,145.406,669.454,23.780
1865.232,125.164,279.027,25.266
1949.699,141.182,811.540,48.111
1924.113,98.445,132.355,30.916
1957.883,127.286,331.800,37.487
2017.668,120.459,549.996,36.571
1813.684,135.868,42.406,32.603
1964.865,96.813,887.797,33.109
1907.231,133.790,202.585,38.163
2043.990,96.236,734.442,37.548
1907.220,85.672,710.732,35.667
